,budget,imdb_id,popularity,release_date,startYear,release_month,revenue,runtime,title,Genre,Production_Company,Director,averageRating,numVotes,original_language,status,New_status
117,50000000.0,tt0103644,17.126768,1992-05-22,1992,5,159773545.0,114.0,Alien³,Science Fiction,Twentieth Century Fox Film Corporation,David Fincher,6.5,261322,en,3.1954709,1.0
118,50000000.0,tt0119174,14.825586999999999,1997-09-12,1997,9,109423648.0,129.0,The Game,Drama,PolyGram Filmed Entertainment,David Fincher,7.8,322376,en,2.18847296,1.0
119,63000000.0,tt0137523,63.869599,1999-10-15,1999,10,100853753.0,139.0,Fight Club,Drama,Twentieth Century Fox Film Corporation,David Fincher,8.8,1727899,en,1.6008532222222223,1.0
120,48000000.0,tt0258000,14.969501999999999,2002-03-29,2002,3,196397415.0,111.0,Panic Room,Crime,Hofflund/Polone,David Fincher,6.8,242478,en,4.0916128125,1.0
121,65000000.0,tt0443706,19.083823000000002,2007-03-02,2007,3,84785914.0,157.0,Zodiac,Crime,Paramount Pictures,David Fincher,7.7,407916,en,1.3043986769230769,1.0
122,150000000.0,tt0421715,17.934821,2008-11-24,2008,11,333932083.0,166.0,The Curious Case of Benjamin Button,Fantasy,Paramount Pictures,David Fincher,7.8,551575,en,2.2262138866666668,1.0
123,6000000.0,tt0114814,16.302466,1995-07-19,1995,7,23341568.0,106.0,The Usual Suspects,Drama,Blue Parrot Productions,Bryan Singer,8.5,929636,en,3.890261333333333,1.0
124,75000000.0,tt0120903,0.954467,2000-07-13,2000,7,296339527.0,104.0,X-Men,Adventure,Twentieth Century Fox Film Corporation,Bryan Singer,7.4,546545,en,3.9511936933333334,1.0
125,110000000.0,tt0290334,0.9130959999999999,2003-04-24,2003,4,407711549.0,133.0,X2,Adventure,Twentieth Century Fox Film Corporation,Bryan Singer,7.4,490374,en,3.706468627272727,1.0
126,270000000.0,tt0348150,13.284711999999999,2006-06-28,2006,6,391081192.0,154.0,Superman Returns,Adventure,DC Comics,Bryan Singer,6.0,263314,en,1.4484488592592593,1.0
127,75000000.0,tt0985699,8.635464,2008-12-25,2008,12,200276000.0,121.0,Valkyrie,Drama,United Artists,Bryan Singer,7.1,217488,en,2.6703466666666666,1.0
128,15000000.0,tt0113819,15.899134,1995-09-13,1995,9,6700000.0,95.0,Mighty Aphrodite,Comedy,Miramax Films,Woody Allen,7.0,36296,en,0.44666666666666666,0.0
129,13500000.0,tt0107507,8.939404,1993-08-18,1993,8,11285588.0,104.0,Manhattan Murder Mystery,Comedy,TriStar Pictures,Woody Allen,7.4,35404,en,0.8359694814814815,0.0
130,2000000.0,tt0070707,6.048904,1973-12-17,1973,12,18344729.0,89.0,Sleeper,Comedy,Rollins-Joffe Productions,Woody Allen,7.2,38181,en,9.1723645,1.0
131,2000000.0,tt0066808,4.331819,1971-04-28,1971,4,11833696.0,82.0,Bananas,Comedy,United Artists,Woody Allen,7.0,32272,en,5.916848,1.0
132,4000000.0,tt0075686,18.146043,1977-04-19,1977,4,38251425.0,93.0,Annie Hall,Comedy,United Artists,Woody Allen,8.0,240318,en,9.56285625,1.0
133,20000000.0,tt0118954,6.280515,1997-08-26,1997,8,10686841.0,96.0,Deconstructing Harry,Comedy,Fine Line Features,Woody Allen,7.4,40396,en,0.53434205,0.0
134,15000000.0,tt0089853,6.133697,1985-03-01,1985,3,10631333.0,82.0,The Purple Rose of Cairo,Fantasy,Orion Pictures,Woody Allen,7.7,44025,en,0.7087555333333333,0.0
135,19000000.0,tt0097123,6.645295,1989-10-13,1989,10,18254702.0,104.0,Crimes and Misdemeanors,Comedy,Orion Pictures,Woody Allen,7.9,51474,en,0.9607737894736842,0.0
136,2000000.0,tt0068555,5.378481,1972-08-06,1972,8,18016290.0,88.0,Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,Comedy,United Artists,Woody Allen,6.8,36370,en,9.008145,1.0
137,3000000.0,tt0073312,5.165666000000001,1975-06-10,1975,6,20173742.0,85.0,Love and Death,History,United Artists,Woody Allen,7.7,33577,en,6.724580666666666,1.0
138,6400000.0,tt0091167,9.57874,1986-02-07,1986,2,40084041.0,107.0,Hannah and Her Sisters,Comedy,Orion Pictures,Woody Allen,7.9,62976,en,6.26313140625,1.0
139,8000000.0,tt0087003,5.892277,1984-01-27,1984,1,10600497.0,84.0,Broadway Danny Rose,Comedy,Orion Pictures Corporation,Woody Allen,7.4,22406,en,1.325062125,1.0
140,15000000.0,tt0416320,9.020372,2005-10-26,2005,10,85306374.0,124.0,Match Point,Drama,DreamWorks,Woody Allen,7.6,194966,en,5.6870916,1.0
141,4000000.0,tt0457513,8.16339,2006-07-27,2006,7,31584901.0,96.0,Scoop,Comedy,BBC Films,Woody Allen,6.7,77173,en,7.89622525,1.0
142,15000000.0,tt0497465,9.648539,2008-08-15,2008,8,96408652.0,96.0,Vicky Cristina Barcelona,Drama,The Weinstein Company,Woody Allen,7.1,231235,en,6.427243466666667,1.0
143,3500000.0,tt0113118,14.56965,1995-04-26,1995,4,28215918.0,91.0,Friday,Comedy,New Line Cinema,F. Gary Gray,7.3,92947,en,8.061690857142857,1.0
144,50000000.0,tt0120768,7.6550199999999995,1998-07-29,1998,7,44547681.0,140.0,The Negotiator,Action,Regency Enterprises,F. Gary Gray,7.3,124088,en,0.89095362,0.0
145,36000000.0,tt0266465,17.714247,2003-04-04,2003,4,44350926.0,109.0,A Man Apart,Action,New Line Cinema,F. Gary Gray,6.1,42931,en,1.2319701666666667,1.0
146,60000000.0,tt0317740,13.995044,2003-05-30,2003,5,176070171.0,110.0,The Italian Job,Action,De Line Pictures,F. Gary Gray,7.0,327394,en,2.93450285,1.0
